"Supply","Demand","period","newsupply"
269,125,1587,516
247,115,1588,0
643,295,1589,1044
401,185,1590,0
412,190,1591,747
335,155,1592,0
401,185,1593,725
324,150,1594,0
170,80,1595,747
577,265,1596,0
324,150,1597,472
148,70,1598,0
412,190,1599,758
346,160,1600,0
346,160,1601,659
313,145,1602,0
643,295,1603,978
335,155,1604,0
368,170,1605,769
401,185,1606,0
401,185,1607,626
225,105,1608,0
577,265,1609,1231
654,300,1610,0
258,120,1611,571
313,145,1612,0
302,140,1613,538
236,110,1614,0
214,100,1615,582
368,170,1616,0
225,105,1617,615
390,180,1618,0
401,185,1619,725
324,150,1620,0
412,190,1621,780
368,170,1622,0
511,235,1623,1077
566,260,1624,0
335,155,1625,527
192,90,1626,0
214,100,1627,615
401,185,1628,0
984,450,1629,1385
401,185,1630,0
511,235,1631,824
313,145,1632,0
401,185,1633,802
401,185,1634,0
643,295,1635,813
170,80,1636,0
203,95,1637,351
148,70,1638,0
291,135,1639,692
401,185,1640,0
841,385,1641,1055
214,100,1642,0
